333	333	333	333	333	333	333	333	333	333	333	333	333	333	444	333	333	333	333	1	1	333
333	333	444	333	333	333	333	333	333	333	333	333	333	333	333	333	333	333	333	2	2	333
333	333	4	333	333	3	333	333	333	333	333	333	333	333	333	333	333	333	333	333	333	333
333	333	444	333	333	444	333	333	333	333	333	333	333	333	333	333	333	333	333	5	5	333
333	333	333	333	333	333	333	333	333	10	333	333	333	333	333	7	333	8	444	9	9	6
333	333	333	333	333	333	333	333	333	444	333	333	333	333	333	444	333	444	444	11	11	444
333	333	333	333	333	333	333	333	333	333	333	333	333	333	333	444	333	333	333	13	12	333
333	333	333	333	333	333	333	333	333	444	333	333	333	333	333	14	333	333	333	333	333	333
333	333	333	333	333	15	333	333	333	16	333	333	333	333	333	333	333	333	333	333	333	333
333	333	333	333	333	333	333	333	333	444	333	333	333	333	333	444	333	444	444	444	444	17
333	333	333	333	333	333	333	333	333	444	333	333	333	333	444	444	333	18	444	444	444	444
333	333	333	333	333	333	333	333	333	19	333	333	333	333	444	19	333	19	20	19	19	19
333	333	333	333	333	333	333	333	333	21	333	333	333	333	333	21	333	21	444	21	21	21
333	333	333	333	333	333	333	333	333	22	333	333	333	333	333	22	333	22	23	22	22	22
333	333	333	333	333	333	333	333	333	333	333	333	333	444	333	24	333	333	333	333	333	333
26	444	333	333	333	333	333	333	333	333	27	333	25	28	333	444	444	333	333	333	333	333
333	31	333	333	333	333	333	333	333	333	333	29	333	30	333	31	31	333	333	333	333	333
333	33	333	333	333	333	333	333	333	333	333	32	333	333	333	33	33	333	333	333	333	333
333	333	444	333	333	333	333	333	333	444	333	333	333	333	333	34	333	333	333	333	333	333
333	35	444	333	333	333	333	333	333	444	333	333	333	444	333	35	35	333	333	333	333	333
333	333	38	333	36	333	37	333	333	38	333	333	333	38	333	333	333	333	333	333	333	333
333	39	444	333	444	333	444	333	333	444	333	333	333	444	333	39	39	333	333	333	333	333
333	333	42	40	42	333	42	41	333	42	333	333	333	42	333	333	333	333	333	333	333	333
333	43	444	444	444	333	444	444	333	444	333	333	333	444	333	44	45	333	333	333	333	333
